Question,Type,Option1,Option2,Option3,Option4,Option5,Option6
Gender,Multiple Choice,Male,Female,,,,
Age Range,Multiple Choice,18–20,21–23,24–26,Above 26,,
Level of Study,Multiple Choice,100 Level,200 Level,300 Level,400 Level,,
Program of Study,Short Answer,,,,,
Do you use social media?,Multiple Choice,Yes,No,,,,
Which social media platform do you use most?,Multiple Choice,WhatsApp,Instagram,TikTok,Facebook,X (Twitter),Snapchat
How many hours do you spend on social media daily?,Multiple Choice,Less than 1 hour,1–3 hours,4–6 hours,More than 6 hours,,
How often do you check social media during lectures?,Multiple Choice,Never,Rarely,Sometimes,Often,Always,
Do you use social media for academic purposes?,Multiple Choice,Yes,No,,,,
Social media distracts me while studying.,Multiple Choice,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,
I spend more time on social media than studying.,Multiple Choice,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,
Social media reduces my concentration during studies.,Multiple Choice,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,
Social media helps me obtain academic information easily.,Multiple Choice,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,
Social media affects my academic performance positively.,Multiple Choice,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,
Excessive social media usage leads to poor academic performance.,Multiple Choice,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,
I sometimes postpone studying because of social media.,Multiple Choice,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,
I believe social media can improve learning when used properly.,Multiple Choice,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,
Overall social media has affected my academic life.,Multiple Choice,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,
